frame,action,room,x,y,lives,level,items,orb_count_or_score_lo,dx,dy,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119,r120,r121,r122,r123,r124,r125,r126,r127
47,2,1,77,229,5,0,0,210,0,1,115,0,4,1,0,200,53,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,229,14,254,240,46,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
48,2,1,77,230,5,0,0,210,0,1,116,0,4,1,0,155,94,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,230,14,254,240,45,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
49,2,1,77,231,5,0,0,210,0,1,117,0,4,1,0,98,227,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,231,14,254,240,45,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,0,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
50,2,1,77,232,5,0,0,210,0,1,118,0,4,1,0,234,37,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,232,14,254,240,45,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,0,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
51,2,1,77,233,5,0,0,210,0,1,119,0,4,1,0,125,110,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,233,14,254,240,45,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,0,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
52,2,1,77,234,5,0,0,210,0,1,120,0,4,1,0,192,178,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,234,14,254,240,44,0,4,4,0,24,10,1,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,0,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
53,2,1,77,235,5,0,0,210,0,1,121,0,4,1,0,132,215,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,235,14,254,240,44,0,4,4,0,24,10,1,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,0,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
54,2,1,77,235,5,0,0,210,0,0,122,0,4,1,0,72,120,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,235,14,254,240,44,0,4,4,0,24,8,1,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,0,18,0,0,9,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
55,2,1,77,235,5,0,0,210,0,0,123,0,4,1,0,27,136,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,77,235,14,254,240,44,0,4,4,0,24,8,0,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,0,18,0,0,9,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
56,2,1,77,235,5,0,0,210,0,0,124,0,4,1,0,225,152,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,77,235,14,254,240,43,0,4,4,0,24,8,0,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,0,19,0,0,9,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
57,2,1,77,235,5,0,0,210,0,0,125,0,4,1,0,103,169,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,77,235,14,254,240,43,0,4,4,0,24,8,0,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,0,19,0,0,9,0,9,0,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
58,0,1,77,235,5,0,0,210,0,0,126,0,4,1,0,245,251,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,77,235,14,254,240,43,0,4,4,0,24,8,0,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,9,0,185,210,0,0,0,255,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
59,0,1,77,235,5,0,0,210,0,0,127,0,4,1,0,91,12,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,40,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,77,235,14,254,240,43,0,4,4,0,24,8,0,0,0,0,5,255,0,0,15,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,9,0,185,210,0,0,0,255,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
60,0,1,77,235,5,0,0,210,0,0,128,0,4,1,0,34,20,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,23,210,124,209,124,209,0,208,21,208,232,209,117,253,4,211,152,253,77,235,14,254,240,42,0,4,4,0,24,8,0,0,0,0,5,255,0,8,0,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,36,0,0,255,0,0,1,19,0,0,0,0,9,0,185,210,0,0,0,255,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
61,0,1,77,235,5,0,0,210,0,0,129,0,4,1,0,37,60,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,23,210,124,209,124,209,0,208,21,208,232,209,117,253,4,211,152,253,77,235,14,254,240,42,0,4,4,0,24,8,0,0,0,0,5,255,0,8,0,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,35,0,0,255,0,0,1,19,0,0,0,0,9,0,185,210,0,0,0,255,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
62,0,1,77,235,5,0,0,210,0,0,130,0,4,1,0,40,68,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,23,210,124,209,124,209,0,208,21,208,232,209,117,253,4,211,152,253,77,235,14,254,240,42,0,4,4,0,24,8,0,0,0,0,5,255,0,8,0,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,34,0,0,255,0,0,1,19,0,0,0,0,9,0,185,210,0,0,0,255,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
